# Times (BJD) 	 rel. flux    rel. flux err.
2459047.207302179	1.0005506469558323  0.00042317231301225845
2459047.209084647	0.9997759642122958  0.0004667241293408264
2459047.2108555385	1.001066762206586   0.00046247767282565764
2459047.212638007	0.999558106850081   0.00044484917646870454
2459047.214420473	1.0000152284189625  0.0004582247608700329
2459047.216318686	0.9997964232841043  0.00043656935998330563
2459047.2180895796	0.9987909563123099  0.0004525959605541826
2459047.2198604723	0.9982188122678254  0.0004406887960194528
2459047.2216545125	0.9972417032465346  0.0004426456483968101
2459047.2234254065	0.9974017854976855  0.0004477372268024719
2459047.2252078736	0.9960898149341053  0.0004318180716375085
2459047.2269787653	0.9965265173521282  0.0004416374481584399
2459047.228761233	0.9965803829881118  0.00043390972501593147
2459047.230532126	0.9948100417469063  0.0004125702322504351
2459047.232303018	0.995500966802893   0.0004260400190077747
2459047.234073912	0.995932842374429   0.0004207736277213615
2459047.235844804	0.9938143670257079  0.00043617797700297835
2459047.2376156957	0.9927683153301721  0.00041108707930057823
2459047.2393981614	0.9928477735846887  0.0004384797997123551
2459047.241180629	0.9926676553019813  0.00045351726282579467
2459047.242963097	0.9924343701021403  0.00041897292495083043
2459047.244733989	0.9930154482428134  0.00042801646825919946
2459047.2465164564	0.9921332195045699  0.00040904887375743215
2459047.2484146706	0.9911492956813659  0.00043366403783293183
2459047.2501971363	0.9924769685544084  0.00042826667995370045
2459047.2519680294	0.9927564249065175  0.0004247945151924337
2459047.2537504956	0.9931387145095186  0.0004354986345069411
2459047.255532962	0.9917625226816276  0.0003948183878967188
2459047.257315429	0.9921793387403796  0.0004189684871595164
2459047.259074746	0.9923770806854619  0.00039608196426214876
2459047.2608572138	0.9931882588599629  0.0004064267030505848
2459047.262639681	0.9922844175140801  0.0003964122847588761
2459047.2644105717	0.9919522248418616  0.00037151164884190624
2459047.2661814643	0.9931335179081306  0.0004021642576491419
2459047.267952356	0.9931641106118946  0.00039815525337737455
2459047.2697348236	0.9931672959313327  0.00041398629686543363
2459047.271505715	0.9932681776951077  0.0003954254048983719
2459047.2732766084	0.9934273523515031  0.000387923211962692
2459047.275059073	0.9941488074779151  0.0004368039391893334
2459047.276829965	0.9943009305489582  0.00044725058885298835
2459047.2786008576	0.9947939177596433  0.00042758158875988683
2459047.2803833247	0.995743165910136   0.0004754201275883092
2459047.2821542164	0.9963167522510384  0.00040901902705719356
2459047.2839366817	0.9971224986178199  0.00041830884917606686
2459047.2857075743	0.9975643951836889  0.0003900915566056262
2459047.2874784665	0.9989765423555018  0.00042422197125490735
2459047.2892609327	0.9991974298398092  0.0004056805801723452
2459047.2910433994	1.0004740819590385  0.00043153744366022397
2459047.292825866	0.9991694121049037  0.00043879707664635614
2459047.2945967563	1.001187065255668   0.0004137285062966368
2459047.296379224	0.999181711981091   0.00043234168996981857
2459047.2981501166	1.0008635240756056  0.0004193276383541395
2459047.2999210074	0.9997802996563119  0.00039777417534110035
2459047.301715048	1.0016684833534497  0.00042206567501280184
2459047.30348594	1.0008471145046567  0.00043144463247115066
2459047.305256831	0.9998004392740898  0.0004250219650123034
2459047.3070277236	1.000230551497843   0.00041049197135032713
2459047.3087986168	0.9997580275697748  0.0004063417842016684
2459047.3105810815	0.9995036424394559  0.0004098375419487779
2459047.3123519737	1.0010973205003346  0.0004157753248253787
