obname	BJD_OUT	RV	RV_E	BS	BS_E	FWHM	instrument	pipeline	resolution	T_eff	logg	Z	Vsini	XC_MIN	DISP	TEXP	SNR_R	ccf_file	HALPHA	HALPHA_E	CA_II_S	CA_II_E	S_MW	S_MW_E	LOG_RHK	LOGRHK_E	NA_II	NA_II_E	HE_I	HE_I_E
TIC237913194   	  2458669.79780688	  29.5357	 0.0087	   -0.016	0.012	   9.8808	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  65	/horus/mhobson/FEROS/TIC237913194/20190704_red/proc/FEROS.2019-07-05T06:56:34.103.TIC237913194_XCs_G2.pdf	   0.1070	   0.0031	   0.1022	   0.0134	   0.1286	   0.0156	  -5.2440	   0.1884	   0.2859	   0.0058	   0.4999	   0.0073
TIC237913194   	  2458670.81632878	  29.5191	 0.0100	   -0.014	0.013	   9.9256	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  56	/horus/mhobson/FEROS/TIC237913194/20190705_red/proc/FEROS.2019-07-06T07:23:10.931.TIC237913194_XCs_G2.pdf	   0.1036	   0.0030	   0.1749	   0.0371	   0.2093	   0.0415	  -4.7332	   0.1545	   0.2751	   0.0059	   0.5009	   0.0076
TIC237913194   	  2458672.87861883	  29.5331	 0.0122	    0.014	0.016	   9.9335	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  44	/horus/mhobson/FEROS/TIC237913194/20190707_red/proc/FEROS.2019-07-08T08:52:46.020.TIC237913194_XCs_G2.pdf	   0.1122	   0.0044	   0.1279	   0.0246	   0.1571	   0.0278	  -4.9903	   0.1871	   0.2845	   0.0086	   0.5111	   0.0112
TIC237913194   	  2458718.91597637	  29.5051	 0.0075	   -0.006	0.011	   9.9168	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  79	/horus/mhobson/FEROS/TIC237913194/20190822_red/proc/FEROS.2019-08-23T09:44:59.852.TIC237913194_XCs_G2.pdf	   0.1068	   0.0022	   0.1069	   0.0097	   0.1338	   0.0118	  -5.1853	   0.1241	   0.2834	   0.0042	   0.5108	   0.0060
TIC237913194   	  2458721.76800322	  29.5282	 0.0073	   -0.000	0.011	   9.9342	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  82	/horus/mhobson/FEROS/TIC237913194/20190825_red/proc/FEROS.2019-08-26T06_11_53.541.TIC237913194_XCs_G2.pdf	   0.1082	   0.0021	   0.0994	   0.0091	   0.1254	   0.0112	  -5.2841	   0.1475	   0.2889	   0.0040	   0.5000	   0.0057
TIC237913194   	  2458722.67442979	  29.5803	 0.0079	   -0.001	0.011	   9.9064	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  74	/horus/mhobson/FEROS/TIC237913194/20190826_red/proc/FEROS.2019-08-27T03:57:08.504.TIC237913194_XCs_G2.pdf	   0.1153	   0.0026	   0.1480	   0.0123	   0.1794	   0.0145	  -4.8616	   0.0727	   0.2785	   0.0047	   0.5032	   0.0062
TIC237913194   	  2458723.75786012	  29.5954	 0.0075	   -0.019	0.011	   9.8881	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  79	/horus/mhobson/FEROS/TIC237913194/20190827_red/proc/FEROS.2019-08-28T05:57:16.553.TIC237913194_XCs_G2.pdf	   0.1072	   0.0022	   0.1207	   0.0093	   0.1491	   0.0114	  -5.0479	   0.0877	   0.2884	   0.0042	   0.4992	   0.0059
TIC237913194   	  2458724.79266282	  29.6107	 0.0089	   -0.019	0.012	   9.9952	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.64	 4.30	1200.0	  64	/horus/mhobson/FEROS/TIC237913194/20190828_red/proc/FEROS.2019-08-29T06:47:23.274.TIC237913194_XCs_G2.pdf	   0.1123	   0.0029	   0.1068	   0.0118	   0.1336	   0.0139	  -5.1869	   0.1471	   0.2966	   0.0056	   0.5071	   0.0076
TIC237913194   	  2458742.73992479	  29.8923	 0.0094	   -0.002	0.013	   9.9372	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.64	 4.30	1200.0	  61	/horus/mhobson/FEROS/TIC237913194/20190915_red/proc/FEROS.2019-09-16T05:31:34.731.TIC237913194_XCs_G2.pdf	   0.1143	   0.0030	   0.1291	   0.0131	   0.1584	   0.0153	  -4.9819	   0.1012	   0.2800	   0.0058	   0.5074	   0.0078
TIC237913194   	  2458783.68991471	  29.5454	 0.0073	   -0.033	0.011	   9.9313	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.65	 4.30	1200.0	  82	/horus/mhobson/FEROS/TIC237913194/20191026_red/proc/FEROS.2019-10-27T04:21:10.086.TIC237913194_XCs_G2.pdf	   0.1055	   0.0020	   0.1394	   0.0101	   0.1699	   0.0123	  -4.9121	   0.0688	   0.2888	   0.0040	   0.5071	   0.0057
TIC237913194   	  2458785.61017720	  29.6458	 0.0098	   -0.026	0.013	   9.9122	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.63	 4.30	1200.0	  56	/horus/mhobson/FEROS/TIC237913194/20191028_red/proc/FEROS.2019-10-29T02:26:27.493.TIC237913194_XCs_G2.pdf	   0.1173	   0.0034	   0.1272	   0.0156	   0.1563	   0.0180	  -4.9959	   0.1224	   0.2790	   0.0064	   0.4980	   0.0085
TIC237913194   	  2458787.67106896	  29.8018	 0.0083	    0.012	0.012	   9.9192	feros	ceres	50000	  -999	-999.00	-999.00	-999.0	0.64	 4.30	1200.0	  70	/horus/mhobson/FEROS/TIC237913194/20191030_red/proc/FEROS.2019-10-31T03:54:15.895.TIC237913194_XCs_G2.pdf	   0.1157	   0.0027	   0.1659	   0.0105	   0.1993	   0.0128	  -4.7721	   0.0521	   0.2669	   0.0049	   0.5007	   0.0066
